Running trials for n = 600, p = 1000, m = 20
Cross validating alpha under noise level:  0.12
Trial:  0  Best params:  {'K': 17, 'N_bag': 100, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.01735416744909047
Trial:  1  Best params:  {'K': 17, 'N_bag': 25, 'atom_bag_percent': 0.7, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.014291301301266952
Trial:  2  Best params:  {'K': 17, 'N_bag': 10, 'atom_bag_percent': 0.9, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.01641030509525617
Trial:  3  Best params:  {'K': 21, 'N_bag': 100, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.01679724491784589
Trial:  4  Best params:  {'K': 17, 'N_bag': 25, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.016125546420762783
Trial:  5  Best params:  {'K': 13, 'N_bag': 100, 'atom_bag_percent': 0.9, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.014956333782343664
Trial:  6  Best params:  {'K': 13, 'N_bag': 100, 'atom_bag_percent': 0.9, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.017340216058395225
Trial:  7  Best params:  {'K': 19, 'N_bag': 100, 'atom_bag_percent': 0.9, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.01977422973992475
Trial:  8  Best params:  {'K': 15, 'N_bag': 75, 'atom_bag_percent': 0.7, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.01593194523489015
Trial:  9  Best params:  {'K': 23, 'N_bag': 75, 'atom_bag_percent': 0.7, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.015560255246205504
Trial:  10  Best params:  {'K': 13, 'N_bag': 75, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.014508536276119633
Trial:  11  Best params:  {'K': 17, 'N_bag': 25, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.015248864025285816
Trial:  12  Best params:  {'K': 21, 'N_bag': 10, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1}  Lowest Error:  0.016852510949157046
Trial:  13  Best params:  {'K': 19, 'N_bag': 10, 'atom_bag_percent': 0.9, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.01592477583410535
Trial:  14  Best params:  {'K': 33, 'N_bag': 100, 'atom_bag_percent': 0.7, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.017754702198934984
Trial:  15  Best params:  {'K': 27, 'N_bag': 25, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.01621534095678609
Trial:  16  Best params:  {'K': 15, 'N_bag': 75, 'atom_bag_percent': 0.7, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.015046875787769462
Trial:  17  Best params:  {'K': 21, 'N_bag': 25, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.01755117673595842
Trial:  18  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.9, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.01438167424606997
Trial:  19  Best params:  {'K': 23, 'N_bag': 50, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.01806064977888889
Cross validating alpha under noise level:  0.14
Trial:  0  Best params:  {'K': 15, 'N_bag': 100, 'atom_bag_percent': 0.7, 'replace_flag': True, 'signal_bag_percent': 1.2}  Lowest Error:  0.023648859311117328
Trial:  1  Best params:  {'K': 15, 'N_bag': 75, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.019611877379024593
Trial:  2  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1}  Lowest Error:  0.0227108602304812
Trial:  3  Best params:  {'K': 17, 'N_bag': 100, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.023380544920421867
Trial:  4  Best params:  {'K': 17, 'N_bag': 25, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.02213451668074724
Trial:  5  Best params:  {'K': 15, 'N_bag': 25, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.020287451732987488
Trial:  6  Best params:  {'K': 13, 'N_bag': 100, 'atom_bag_percent': 1, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.023776353538542933
Trial:  7  Best params:  {'K': 17, 'N_bag': 75, 'atom_bag_percent': 0.7, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.027514435550749356
Trial:  8  Best params:  {'K': 15, 'N_bag': 100, 'atom_bag_percent': 0.7, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.022238697882323234
Trial:  9  Best params:  {'K': 23, 'N_bag': 100, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.021572067660534284
Trial:  10  Best params:  {'K': 17, 'N_bag': 75, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 1.2}  Lowest Error:  0.01973485056850835
Trial:  11  Best params:  {'K': 15, 'N_bag': 75, 'atom_bag_percent': 1, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.020807059680977177
Trial:  12  Best params:  {'K': 21, 'N_bag': 25, 'atom_bag_percent': 0.7, 'replace_flag': True, 'signal_bag_percent': 0.8}  Lowest Error:  0.023136200587300374
Trial:  13  Best params:  {'K': 23, 'N_bag': 10, 'atom_bag_percent': 0.7, 'replace_flag': True, 'signal_bag_percent': 1.2}  Lowest Error:  0.021911899749170988
Trial:  14  Best params:  {'K': 33, 'N_bag': 100, 'atom_bag_percent': 1, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.024653282742341343
Trial:  15  Best params:  {'K': 25, 'N_bag': 25, 'atom_bag_percent': 0.9, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.02228986888297602
Trial:  16  Best params:  {'K': 15, 'N_bag': 75, 'atom_bag_percent': 0.7, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.020436408202211275
Trial:  17  Best params:  {'K': 15, 'N_bag': 50, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.024026242098443278
Trial:  18  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.9, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.0197918492774241
Trial:  19  Best params:  {'K': 23, 'N_bag': 50, 'atom_bag_percent': 0.7, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.024525501604232065
Cross validating alpha under noise level:  0.16
Trial:  0  Best params:  {'K': 17, 'N_bag': 25, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 0.8}  Lowest Error:  0.030528504581930647
Trial:  1  Best params:  {'K': 15, 'N_bag': 100, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.02577731286609321
Trial:  2  Best params:  {'K': 17, 'N_bag': 10, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.029483617179729138
Trial:  3  Best params:  {'K': 17, 'N_bag': 75, 'atom_bag_percent': 0.9, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.030977809086757607
Trial:  4  Best params:  {'K': 21, 'N_bag': 25, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.028799091931107395
Trial:  5  Best params:  {'K': 15, 'N_bag': 10, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.026783040078809273
Trial:  6  Best params:  {'K': 13, 'N_bag': 100, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.031473045765382526
Trial:  7  Best params:  {'K': 17, 'N_bag': 50, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1}  Lowest Error:  0.036262336484485326
Trial:  8  Best params:  {'K': 15, 'N_bag': 100, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.02945584205200243
Trial:  9  Best params:  {'K': 19, 'N_bag': 75, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.028598748447066523
Trial:  10  Best params:  {'K': 13, 'N_bag': 100, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.025906099352510547
Trial:  11  Best params:  {'K': 13, 'N_bag': 50, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.027082749578599158
