Running trials for n = 600, p = 1000, m = 20
Cross validating alpha under noise level:  0.12
Trial:  0  Best params:  {'K': 13, 'N_bag': 1, 'atom_bag_percent': 0.6, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.016888243361069165
Trial:  1  Best params:  {'K': 15, 'N_bag': 1, 'atom_bag_percent': 0.7, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.01390142157007399
Trial:  2  Best params:  {'K': 19, 'N_bag': 75, 'atom_bag_percent': 0.7, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.016280711726295756
Trial:  3  Best params:  {'K': 17, 'N_bag': 75, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.016096358291431762
Trial:  4  Best params:  {'K': 21, 'N_bag': 50, 'atom_bag_percent': 0.6, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.01599258471265188
Trial:  5  Best params:  {'K': 13, 'N_bag': 75, 'atom_bag_percent': 0.6, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.014833206561482348
Trial:  6  Best params:  {'K': 13, 'N_bag': 1, 'atom_bag_percent': 0.9, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.016552228761227673
Trial:  7  Best params:  {'K': 17, 'N_bag': 1, 'atom_bag_percent': 0.6, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.018941127603512412
Trial:  8  Best params:  {'K': 15, 'N_bag': 25, 'atom_bag_percent': 0.7, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.015658129228219197
Trial:  9  Best params:  {'K': 17, 'N_bag': 1, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.01492144862528606
Trial:  10  Best params:  {'K': 15, 'N_bag': 75, 'atom_bag_percent': 0.8, 'replace_flag': False, 'signal_bag_percent': 0.6}  Lowest Error:  0.014317364875307936
Trial:  11  Best params:  {'K': 17, 'N_bag': 25, 'atom_bag_percent': 0.8, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.015196923143258729
Trial:  12  Best params:  {'K': 13, 'N_bag': 100, 'atom_bag_percent': 0.8, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.01698492546122547
Trial:  13  Best params:  {'K': 15, 'N_bag': 10, 'atom_bag_percent': 0.8, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.015759207375960003
Trial:  14  Best params:  {'K': 15, 'N_bag': 1, 'atom_bag_percent': 0.8, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.017165741864660914
Trial:  15  Best params:  {'K': 17, 'N_bag': 100, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.01631597278913315
Trial:  16  Best params:  {'K': 15, 'N_bag': 25, 'atom_bag_percent': 0.7, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.014854997276721524
Trial:  17  Best params:  {'K': 13, 'N_bag': 10, 'atom_bag_percent': 0.6, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.017394960946175157
Trial:  18  Best params:  {'K': 19, 'N_bag': 50, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.014233068082731736
