Running trials for n = 600, p = 1000, m = 20
Cross validating alpha under noise level:  0.02
Trial:  0  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.9, 'signal_bag_percent': 0.8}  Lowest Error:  0.00044101333833891713
Trial:  1  Best params:  {'K': 19, 'N_bag': 10, 'atom_bag_percent': 0.9, 'signal_bag_percent': 0.7}  Lowest Error:  0.00037792884449727173
Trial:  2  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 1, 'signal_bag_percent': 0.8}  Lowest Error:  0.00041621233752294346
Trial:  3  Best params:  {'K': 21, 'N_bag': 75, 'atom_bag_percent': 0.8, 'signal_bag_percent': 0.6}  Lowest Error:  0.000418674479544042
Trial:  4  Best params:  {'K': 21, 'N_bag': 10, 'atom_bag_percent': 0.7, 'signal_bag_percent': 0.8}  Lowest Error:  0.00041515707772674424
Trial:  5  Best params:  {'K': 21, 'N_bag': 75, 'atom_bag_percent': 1, 'signal_bag_percent': 0.6}  Lowest Error:  0.00039272847585129675
Trial:  6  Best params:  {'K': 19, 'N_bag': 50, 'atom_bag_percent': 0.7, 'signal_bag_percent': 0.6}  Lowest Error:  0.0004441970150082861
Trial:  7  Best params:  {'K': 21, 'N_bag': 100, 'atom_bag_percent': 1, 'signal_bag_percent': 0.6}  Lowest Error:  0.00048146833573286635
Trial:  8  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.9, 'signal_bag_percent': 0.9}  Lowest Error:  0.00042974306541453415
Trial:  9  Best params:  {'K': 23, 'N_bag': 10, 'atom_bag_percent': 0.5, 'signal_bag_percent': 0.9}  Lowest Error:  0.0004161923689015419
Trial:  10  Best params:  {'K': 25, 'N_bag': 75, 'atom_bag_percent': 0.7, 'signal_bag_percent': 0.6}  Lowest Error:  0.0004045935741101561
Trial:  11  Best params:  {'K': 19, 'N_bag': 10, 'atom_bag_percent': 0.6, 'signal_bag_percent': 0.9}  Lowest Error:  0.0003967047299500245
Trial:  12  Best params:  {'K': 19, 'N_bag': 50, 'atom_bag_percent': 1, 'signal_bag_percent': 0.9}  Lowest Error:  0.00044024518593394746
Trial:  13  Best params:  {'K': 19, 'N_bag': 10, 'atom_bag_percent': 0.6, 'signal_bag_percent': 0.8}  Lowest Error:  0.0004273373730853852
