Running trials for n = 600, p = 1000, m = 20
Cross validating alpha under noise level:  0.02
Trial:  0  Best params:  {'K': 21, 'N_bag': 25, 'atom_bag_percent': 1, 'signal_bag_percent': 1.2}  Lowest Error:  0.00044531266715768295
Trial:  1  Best params:  {'K': 19, 'N_bag': 75, 'atom_bag_percent': 1, 'signal_bag_percent': 1.6}  Lowest Error:  0.0003799002471064379
Trial:  2  Best params:  {'K': 19, 'N_bag': 10, 'atom_bag_percent': 1, 'signal_bag_percent': 1}  Lowest Error:  0.00041355407373895646
Trial:  3  Best params:  {'K': 21, 'N_bag': 25, 'atom_bag_percent': 0.8, 'signal_bag_percent': 0.8}  Lowest Error:  0.00041605111828148906
Trial:  4  Best params:  {'K': 23, 'N_bag': 25, 'atom_bag_percent': 0.5, 'signal_bag_percent': 0.8}  Lowest Error:  0.0004128223552666096
Trial:  5  Best params:  {'K': 21, 'N_bag': 25, 'atom_bag_percent': 0.9, 'signal_bag_percent': 0.8}  Lowest Error:  0.0003915573994155915
Trial:  6  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.7, 'signal_bag_percent': 0.6}  Lowest Error:  0.0004406746532339143
Trial:  7  Best params:  {'K': 21, 'N_bag': 100, 'atom_bag_percent': 0.9, 'signal_bag_percent': 0.8}  Lowest Error:  0.00047980844337924984
Trial:  8  Best params:  {'K': 21, 'N_bag': 50, 'atom_bag_percent': 0.7, 'signal_bag_percent': 1.6}  Lowest Error:  0.00043587930380304285
Trial:  9  Best params:  {'K': 21, 'N_bag': 25, 'atom_bag_percent': 1, 'signal_bag_percent': 1.6}  Lowest Error:  0.0004211293710019138
Trial:  10  Best params:  {'K': 23, 'N_bag': 100, 'atom_bag_percent': 0.5, 'signal_bag_percent': 1.6}  Lowest Error:  0.00040852599594793553
Trial:  11  Best params:  {'K': 23, 'N_bag': 25, 'atom_bag_percent': 1, 'signal_bag_percent': 1.6}  Lowest Error:  0.00039676644125854284
Trial:  12  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 1, 'signal_bag_percent': 1.4}  Lowest Error:  0.00044076819822242905
Trial:  13  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.6, 'signal_bag_percent': 1}  Lowest Error:  0.0004256805395390504
Trial:  14  Best params:  {'K': 23, 'N_bag': 50, 'atom_bag_percent': 0.5, 'signal_bag_percent': 1.4}  Lowest Error:  0.0004517398165926145
Trial:  15  Best params:  {'K': 21, 'N_bag': 50, 'atom_bag_percent': 0.5, 'signal_bag_percent': 1.4}  Lowest Error:  0.0004459095004690413
Trial:  16  Best params:  {'K': 21, 'N_bag': 50, 'atom_bag_percent': 0.9, 'signal_bag_percent': 1.4}  Lowest Error:  0.0004065986157616242
Trial:  17  Best params:  {'K': 21, 'N_bag': 50, 'atom_bag_percent': 0.9, 'signal_bag_percent': 1.6}  Lowest Error:  0.0004659760670247336
Trial:  18  Best params:  {'K': 21, 'N_bag': 25, 'atom_bag_percent': 0.9, 'signal_bag_percent': 0.8}  Lowest Error:  0.0003973703808195007
Trial:  19  Best params:  {'K': 23, 'N_bag': 25, 'atom_bag_percent': 0.6, 'signal_bag_percent': 1}  Lowest Error:  0.00048051930657112845
Noise level:  0.02  Avg Lowest MSE:  0.00042782722472957445
Cross validating alpha under noise level:  0.04
Trial:  0  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.6, 'signal_bag_percent': 1.6}  Lowest Error:  0.0018230335080910791
Trial:  1  Best params:  {'K': 17, 'N_bag': 25, 'atom_bag_percent': 0.9, 'signal_bag_percent': 1.6}  Lowest Error:  0.001560894033297662
Trial:  2  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.9, 'signal_bag_percent': 1}  Lowest Error:  0.001666392982038385
Trial:  3  Best params:  {'K': 21, 'N_bag': 10, 'atom_bag_percent': 0.8, 'signal_bag_percent': 1.4}  Lowest Error:  0.0017127595528758134
Trial:  4  Best params:  {'K': 21, 'N_bag': 10, 'atom_bag_percent': 0.6, 'signal_bag_percent': 1.6}  Lowest Error:  0.0016484959456830525
Trial:  5  Best params:  {'K': 23, 'N_bag': 10, 'atom_bag_percent': 0.5, 'signal_bag_percent': 1.6}  Lowest Error:  0.001610705370133711
Trial:  6  Best params:  {'K': 19, 'N_bag': 10, 'atom_bag_percent': 0.7, 'signal_bag_percent': 1.2}  Lowest Error:  0.0017674512425362378
Trial:  7  Best params:  {'K': 21, 'N_bag': 50, 'atom_bag_percent': 0.9, 'signal_bag_percent': 1.2}  Lowest Error:  0.0019361785095529647
Trial:  8  Best params:  {'K': 17, 'N_bag': 50, 'atom_bag_percent': 0.5, 'signal_bag_percent': 1.6}  Lowest Error:  0.001757396101594287
Trial:  9  Best params:  {'K': 19, 'N_bag': 100, 'atom_bag_percent': 1, 'signal_bag_percent': 1.2}  Lowest Error:  0.0017298305083455312
Trial:  10  Best params:  {'K': 27, 'N_bag': 10, 'atom_bag_percent': 0.5, 'signal_bag_percent': 1.2}  Lowest Error:  0.0016503657151841263
Trial:  11  Best params:  {'K': 21, 'N_bag': 25, 'atom_bag_percent': 0.7, 'signal_bag_percent': 1.6}  Lowest Error:  0.0016008420488960395
Trial:  12  Best params:  {'K': 21, 'N_bag': 10, 'atom_bag_percent': 0.5, 'signal_bag_percent': 1}  Lowest Error:  0.0017901807090229416
Trial:  13  Best params:  {'K': 17, 'N_bag': 10, 'atom_bag_percent': 0.7, 'signal_bag_percent': 1.6}  Lowest Error:  0.0016771021138224252
Trial:  14  Best params:  {'K': 27, 'N_bag': 100, 'atom_bag_percent': 0.7, 'signal_bag_percent': 0.6}  Lowest Error:  0.0018346386562503696
Trial:  15  Best params:  {'K': 27, 'N_bag': 100, 'atom_bag_percent': 0.7, 'signal_bag_percent': 1}  Lowest Error:  0.0017715582582663112
Trial:  16  Best params:  {'K': 21, 'N_bag': 100, 'atom_bag_percent': 0.5, 'signal_bag_percent': 1.6}  Lowest Error:  0.001683767748808219
Trial:  17  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.6, 'signal_bag_percent': 1.2}  Lowest Error:  0.0018946152601855503
Trial:  18  Best params:  {'K': 21, 'N_bag': 75, 'atom_bag_percent': 0.8, 'signal_bag_percent': 1.6}  Lowest Error:  0.0015996600022878365
Trial:  19  Best params:  {'K': 25, 'N_bag': 100, 'atom_bag_percent': 0.7, 'signal_bag_percent': 1.6}  Lowest Error:  0.0019527831145505809
Noise level:  0.04  Avg Lowest MSE:  0.0017334325690711565
Cross validating alpha under noise level:  0.06
Trial:  0  Best params:  {'K': 23, 'N_bag': 25, 'atom_bag_percent': 0.9, 'signal_bag_percent': 1.6}  Lowest Error:  0.004196604632562622
Trial:  1  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 1, 'signal_bag_percent': 1.4}  Lowest Error:  0.003518096319039689
Trial:  2  Best params:  {'K': 19, 'N_bag': 10, 'atom_bag_percent': 1, 'signal_bag_percent': 1.4}  Lowest Error:  0.003730502278072963
Trial:  3  Best params:  {'K': 19, 'N_bag': 10, 'atom_bag_percent': 1, 'signal_bag_percent': 1.6}  Lowest Error:  0.003879201615729318
Trial:  4  Best params:  {'K': 21, 'N_bag': 10, 'atom_bag_percent': 1, 'signal_bag_percent': 1.4}  Lowest Error:  0.0037712510623419447
Trial:  5  Best params:  {'K': 23, 'N_bag': 50, 'atom_bag_percent': 0.8, 'signal_bag_percent': 1.2}  Lowest Error:  0.0038722930296589122
Trial:  6  Best params:  {'K': 19, 'N_bag': 10, 'atom_bag_percent': 0.8, 'signal_bag_percent': 1.6}  Lowest Error:  0.004170334523925144
Trial:  7  Best params:  {'K': 21, 'N_bag': 100, 'atom_bag_percent': 0.8, 'signal_bag_percent': 1.6}  Lowest Error:  0.004410506400159331
Trial:  8  Best params:  {'K': 15, 'N_bag': 25, 'atom_bag_percent': 0.8, 'signal_bag_percent': 1.6}  Lowest Error:  0.003936779342599939
Trial:  9  Best params:  {'K': 17, 'N_bag': 50, 'atom_bag_percent': 0.9, 'signal_bag_percent': 1.6}  Lowest Error:  0.003837308741333313
Trial:  10  Best params:  {'K': 23, 'N_bag': 50, 'atom_bag_percent': 0.8, 'signal_bag_percent': 0.8}  Lowest Error:  0.0037101689050646576
Trial:  11  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.6, 'signal_bag_percent': 1.6}  Lowest Error:  0.0036536815779908208
Trial:  12  Best params:  {'K': 23, 'N_bag': 10, 'atom_bag_percent': 0.7, 'signal_bag_percent': 1}  Lowest Error:  0.004150484275958802
Trial:  13  Best params:  {'K': 17, 'N_bag': 10, 'atom_bag_percent': 0.6, 'signal_bag_percent': 1.2}  Lowest Error:  0.003850864047130316
Trial:  14  Best params:  {'K': 19, 'N_bag': 50, 'atom_bag_percent': 0.7, 'signal_bag_percent': 1.6}  Lowest Error:  0.004090354979370575
Trial:  15  Best params:  {'K': 27, 'N_bag': 75, 'atom_bag_percent': 0.6, 'signal_bag_percent': 1}  Lowest Error:  0.003984838944869144
