Running trials for n = 600, p = 1000, m = 20
Cross validating alpha under noise level:  0.1
Trial:  0  Best params:  {'atom_bag_percent': 0.9, 'signal_bag_percent': 0.5, 'best_bag': 100, 'best_k': 170}  Lowest Error:  0.013876859521917634  Testing Error:  0.012044368796327632
Trial:  1  Best params:  {'atom_bag_percent': 0.7, 'signal_bag_percent': 0.5, 'best_bag': 200, 'best_k': 170}  Lowest Error:  0.01398211568105065  Testing Error:  0.01233337135972985
Trial:  2  Best params:  {'atom_bag_percent': 0.9, 'signal_bag_percent': 0.5, 'best_bag': 300, 'best_k': 200}  Lowest Error:  0.013788329991869385  Testing Error:  0.011364580555122584
Trial:  3  Best params:  {'atom_bag_percent': 0.9, 'signal_bag_percent': 0.5, 'best_bag': 300, 'best_k': 160}  Lowest Error:  0.013734614064259793  Testing Error:  0.014070466837356506
Trial:  4  Best params:  {'atom_bag_percent': 0.9, 'signal_bag_percent': 0.7, 'best_bag': 300, 'best_k': 280}  Lowest Error:  0.015463261018209204  Testing Error:  0.01715367326018064
Trial:  5  Best params:  {'atom_bag_percent': 0.7, 'signal_bag_percent': 0.3, 'best_bag': 300, 'best_k': 140}  Lowest Error:  0.014140264428729529  Testing Error:  0.01656943025604584
Trial:  6  Best params:  {'atom_bag_percent': 0.9, 'signal_bag_percent': 0.5, 'best_bag': 300, 'best_k': 210}  Lowest Error:  0.01372026088993753  Testing Error:  0.014068802782530284
Trial:  7  Best params:  {'atom_bag_percent': 0.9, 'signal_bag_percent': 0.3, 'best_bag': 300, 'best_k': 100}  Lowest Error:  0.019369094430070857  Testing Error:  0.018997432144640322
Trial:  8  Best params:  {'atom_bag_percent': 0.9, 'signal_bag_percent': 0.5, 'best_bag': 300, 'best_k': 180}  Lowest Error:  0.01264359810506141  Testing Error:  0.014640297405420806
Trial:  9  Best params:  {'atom_bag_percent': 0.9, 'signal_bag_percent': 0.5, 'best_bag': 300, 'best_k': 190}  Lowest Error:  0.01252317653624375  Testing Error:  0.012276862769117913
Trial:  10  Best params:  {'atom_bag_percent': 0.9, 'signal_bag_percent': 0.5, 'best_bag': 300, 'best_k': 200}  Lowest Error:  0.012226491622358702  Testing Error:  0.01269811510584772
Trial:  11  Best params:  {'atom_bag_percent': 0.9, 'signal_bag_percent': 0.7, 'best_bag': 300, 'best_k': 260}  Lowest Error:  0.013687248538117527  Testing Error:  0.01499741407410075
Trial:  12  Best params:  {'atom_bag_percent': 0.7, 'signal_bag_percent': 0.3, 'best_bag': 300, 'best_k': 100}  Lowest Error:  0.015473420336194693  Testing Error:  0.01938421739345694
Trial:  13  Best params:  {'atom_bag_percent': 0.9, 'signal_bag_percent': 0.7, 'best_bag': 300, 'best_k': 290}  Lowest Error:  0.0150902911666704  Testing Error:  0.011635598522686271
Trial:  14  Best params:  {'atom_bag_percent': 0.9, 'signal_bag_percent': 0.5, 'best_bag': 300, 'best_k': 240}  Lowest Error:  0.014141353981562873  Testing Error:  0.012211075278137688
Trial:  15  Best params:  {'atom_bag_percent': 0.9, 'signal_bag_percent': 0.7, 'best_bag': 300, 'best_k': 270}  Lowest Error:  0.013972417533761458  Testing Error:  0.01497265081417983
Trial:  16  Best params:  {'atom_bag_percent': 0.9, 'signal_bag_percent': 0.5, 'best_bag': 200, 'best_k': 180}  Lowest Error:  0.013355773193727683  Testing Error:  0.010969340284096315
Trial:  17  Best params:  {'atom_bag_percent': 0.9, 'signal_bag_percent': 0.7, 'best_bag': 300, 'best_k': 290}  Lowest Error:  0.016157350521310072  Testing Error:  0.016392549455541597
Trial:  18  Best params:  {'atom_bag_percent': 0.9, 'signal_bag_percent': 0.5, 'best_bag': 300, 'best_k': 240}  Lowest Error:  0.01452951497717323  Testing Error:  0.012955302286505864
Trial:  19  Best params:  {'atom_bag_percent': 0.9, 'signal_bag_percent': 0.5, 'best_bag': 300, 'best_k': 230}  Lowest Error:  0.013651773713622214  Testing Error:  0.014972735987324045
Done!
Results are saved in:  ./memory/BOMP_600_1000_20_nr_0715_0715-221954.pkl
